	cancer_type	ms	GDSC.msi.call	CCLE.MSI.call	total_mut	indel	C_A	C_T	C_G	T_A	T_C	T_G	MLH1	MSH2	MSH6	PMS2	MLH1_exp	MSH2_exp	MSH6_exp	PMS2_exp	MSH2_1_methy	MSH2_2_methy	MSH6_1_methy	MSH6_2_methy	MSH6_3_methy	MSH6_4_methy	MLH1_methy	PMS2_1_methy	PMS2_2_methy	MSH6_pro	PMS2_pro	MLH1_pro	MSH2_pro	MLH1_exp_z	PMS2_exp_z	MSH2_exp_z	MSH6_exp_z	sigA	sigB	muts
ACH-000981	Leukemia	MSI-high	MSI-H	inferred-MSI	5285	314	0.105960265	0.503122044	0.055818354	0.048249763	0.240113529	0.046736045	NA	NA	NA	NA	5.417515003	5.389910925	5.361768359	4.070389328	NA	0.00672	0.94443	0.02876	0.73135	0.97333	0.00561	0.01745	NA	NA	NA	NA	NA	0.87611355	0.511540336	0.569096892	0.508430859	0.561353053	0.438646947	0
ACH-000994	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	8645	1079	0.081434355	0.676691729	0.020011567	0.017119722	0.191324465	0.013418161	NA	Frame_Shift_Ins	Frame_Shift_Del	NA	6.259272487	4.389566812	5.096346199	4.000901403	0	0.00127	0.91983	0.02839	0.96261	0.95581	0.00681	0.00158	NA	-1.379209002	1.186442415	0.146097382	-1.360259177	1.251955228	0.403217375	-0.253124173	0.291894265	0.754492766	0.245507234	1
ACH-000983	Leukemia	MSI-high	MSI-H	inferred-MSI	3088	280	0.146049223	0.643458549	0.078044041	0.01619171	0.102331606	0.01392487	Missense_Mutation	NA	Frame_Shift_Ins	NA	0.176322773	5.025028794	4.449561375	3.499527024	NA	0	1	0.00018	0.99188	1	NA	0	NA	NA	NA	NA	NA	-1.464059857	-0.378362409	0.269186321	-0.235765453	0.857422049	0.142577951	Double
ACH-000984	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	5187	847	0.118758435	0.668016194	0.015423173	0.017929439	0.166955851	0.012916908	Frame_Shift_Del	NA	Frame_Shift_Del	Nonsense_Mutation	3.56315813	5.508428653	2.90303827	3.875780063	1	0	0.98717	0.01524	1	0.99565	0	0	NA	-0.252443521	-1.747561632	-1.427010746	-1.473248	0.048149902	0.208168897	0.666511142	-1.49744927	0.788312024	0.211687976	Double
ACH-000985	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	6751	783	0.14086802	0.635757666	0.023996445	0.014071989	0.17167827	0.013627611	Missense_Mutation	NA	NA	NA	2.367371066	5.173926932	5.138323004	3.948600847	0.9286	0.02811	0.94043	0.04375	1	0.97327	0.21862	0.00281	NA	0.556845146	-1.542748208	-1.415890361	0.243096604	-0.485764705	0.321687368	0.391571392	0.326139765	0.779196279	0.220803721	0
ACH-000988	Endometrial/Uterine Cancer	MSI-high	MSI-H	inferred-MSI	6096	803	0.094488189	0.501968504	0.034448819	0.022965879	0.329560367	0.016568241	NA	Missense_Mutation	Missense_Mutation	Frame_Shift_Del	0.150559677	4.807354922	4.92314918	3.155425432	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.062062907	-2.31374258	-2.566082524	0.101866284	-1.475562987	-0.914773641	0.090271845	0.150596748	0.463104903	0.536895097	0
ACH-000974	Endometrial/Uterine Cancer	MSI-high	MSI-H	inferred-MSI	3961	477	0.139611209	0.626861904	0.02019692	0.012118152	0.181014895	0.02019692	NA	NA	Missense_Mutation;Frame_Shift_Del	NA	4.655924213	3.802193217	3.289834465	4.137503524	NA	0	0.88506	0.03166	0.93117	0.9569	0	0	NA	-0.766883153	0.458712389	0.246590662	-1.081562702	0.536066012	0.616162952	-0.735908982	-1.181893364	0.76300569	0.23699431	1
ACH-000953	Leukemia	MSS	MSS/MSI-L	inferred-MSI	2854	295	0.073580939	0.728100911	0.020322355	0.011562719	0.150665732	0.015767344	NA	NA	Frame_Shift_Ins	NA	6.566815154	3.918386234	6.722602637	4.619413011	1	0.00488	0.97333	0.03815	0.9925	0.972	0	0.00203	0	NA	NA	NA	NA	1.389271918	1.36739941	-0.6404055	1.618626097	0.83199422	0.16800578	1
ACH-000928	Endometrial/Uterine Cancer	MSI	NA	inferred-MSI	2125	370	0.103529412	0.694117647	0.022588235	0.016941176	0.142117647	0.020705882	NA	Frame_Shift_Del	NA	NA	4.568032105	2.709290636	4.239550797	4.031218731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.496822503	0.450478287	-1.63420739	-0.407096193	0.832003615	0.167996385	1
ACH-000965	Endometrial/Uterine Cancer	MSI-high	MSI-H	inferred-MSI	3003	420	0.091908092	0.709290709	0.028971029	0.015651016	0.14019314	0.013986014	NA	Missense_Mutation;Nonsense_Mutation	NA	NA	4.879215637	4.057450272	4.316145742	3.825785627	NA	0.00073	1	0.01434	0.94108	0.98254	0	0.01112	0	NA	NA	NA	NA	0.635764827	0.130233841	-0.526103452	-0.344608537	0.834334456	0.165665544	1
ACH-000967	Colon/Colorectal Cancer	MSI	NA	inferred-MSI	3505	696	0.136376605	0.681883024	0.017974322	0.017689016	0.128958631	0.017118402	NA	NA	Frame_Shift_Ins	NA	4.237257771	3.448900951	2.700439718	4.073820233	NA	0	0.96667	0	0.8182	0.95774	0	0	0	-2.271332477	-0.255808858	0.106798873	-2.176822448	0.349132958	0.516888688	-1.0262934	-1.662733134	0.841017762	0.158982238	1
ACH-000998	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	9196	1532	0.162679426	0.511200522	0.013266638	0.072422793	0.212374946	0.028055676	Frame_Shift_Del	NA	Missense_Mutation	NA	2.9202933	4.985955755	4.678635348	3.730096466	NA	0.01596	0.00755	0.04016	0.97956	0.62871	0.01033	0	0	NA	NA	NA	NA	-0.238886924	-0.018933563	0.237070696	-0.048882422	0.587514745	0.412485255	0
ACH-000999	Colon/Colorectal Cancer	MSI	MSS/MSI-L	inferred-MSI	24847	878	0.058236407	0.706322695	0.007043104	0.016138769	0.202076709	0.010182316	Missense_Mutation	Missense_Mutation	Missense_Mutation	Missense_Mutation	1.879705766	4.655351829	5.287620044	3.947666157	1	0	0.139	0.01036	0.86761	0.56981	0.01759	0	NA	NA	NA	NA	NA	-0.703505501	0.320230302	-0.034665308	0.447939212	0.757273744	0.242726256	0
ACH-001042	Ovarian Cancer	MSI	NA	inferred-MSI	108	22	0.148148148	0.398148148	0.018518519	0.055555556	0.342592593	0.037037037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.431177078	0.568822922	0
ACH-001063	Ovarian Cancer	MSS	MSS/MSI-L	inferred-MSI	1324	147	0.178247734	0.467522659	0.048338369	0.041540785	0.222809668	0.041540785	NA	NA	NA	NA	NA	NA	NA	NA	1	0.00602	0.96154	0.00092	0.87364	0.86763	0.96631	0.00515	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.585057883	0.414942117	0
ACH-000989	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	7272	304	0.105885589	0.742711771	0.01210121	0.013613861	0.111111111	0.014576458	NA	Missense_Mutation	Frame_Shift_Ins	NA	5.601993581	4.361066489	1.86393845	4.42693562	NA	0	0.11558	0.00143	0.83688	0.75005	0	0.00452	0	NA	NA	NA	NA	0.95848257	1.067351294	-0.276549678	-2.345167241	0.876023053	0.123976947	1
ACH-000939	Sarcoma	MSI-high	MSI-H	inferred-MSI	2144	390	0.074626866	0.782649254	0.018190299	0.014925373	0.092817164	0.016791045	NA	Frame_Shift_Del	NA	NA	5.137093609	2.867896464	6.108315355	4.056583528	1	0.0053	0.80742	0.00516	0.60012	0.87146	0	0.007	0	NA	NA	NA	NA	0.75090641	0.490018826	-1.503843197	1.117478509	0.908364351	0.091635649	1
ACH-001145	Ovarian Cancer	MSI-high	NA	inferred-MSI	2929	463	0.120518948	0.636394674	0.018094913	0.016387846	0.188118812	0.020484807	NA	Missense_Mutation;In_Frame_Del	NA	NA	5.6923714	6.121637118	6.448405435	4.025028794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.998835939	0.440828953	1.17053062	1.394930653	0.753074745	0.246925255	0
ACH-001190	Skin Cancer	MSI-high	MSI-H	inferred-MSI	1182	103	0.08714044	0.620981387	0.025380711	0.0321489	0.204737733	0.029610829	NA	Missense_Mutation	NA	NA	5.417177412	5.097189387	6.184478671	3.7322692	1	0.01419	0.90578	0.00281	0.10152	0.89661	0.0018	0.00435	0	0.070210587	0.048659981	0.104274024	-0.002296258	0.875962817	-0.015546543	0.328497871	1.179614033	0.613923828	0.386076172	0
ACH-001199	Colon/Colorectal Cancer	MSI-high	MSI-H	inferred-MSI	2753	496	0.14202688	0.653105703	0.022520886	0.018888485	0.133672357	0.029785688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.816142604	0.183857396	0
ACH-000795	Leukemia	MSI-high	MSI-H	inferred-MSI	1366	101	0.054904832	0.780380673	0.032210835	0.01317716	0.095900439	0.023426061	NA	Nonsense_Mutation	NA	NA	5.819412726	3.12763328	5.371210343	4.368069877	NA	0	0.99319	0.06263	0.94575	0.97567	0	0.00749	0	NA	NA	NA	NA	1.055559433	0.975586983	-1.29035558	0.516133814	0.90865276	0.09134724	1
ACH-001127	Leukemia	MSI-high	MSI-H	inferred-MSI	6324	341	0.150379507	0.710468058	0.036211259	0.014705882	0.080487034	0.007748261	NA	NA	Frame_Shift_Del	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.911498239	0.088501761	1
ACH-000995	Leukemia	MSI-high	MSI-H	inferred-MSI	7449	660	0.070210767	0.802658075	0.032621828	0.015975299	0.065646395	0.012887636	NA	Nonsense_Mutation	Frame_Shift_Del;Missense_Mutation	NA	5.653060017	2.049630768	2.424922088	4.181897643	NA	0	NA	0.07407	0.99735	0.77679	0	8.00E-04	NA	-1.912751108	0.254396951	0.040029763	-0.946157018	0.981283549	0.685367817	-2.17640705	-1.887505809	0.945654167	0.054345833	1
ACH-001498	Lymphoma	MSI-low	MSS/MSI-L	inferred-MSI	2639	130	0.108753316	0.38878363	0.027661993	0.03486169	0.308071239	0.131868132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39103818	0.60896182	0
ACH-001517	Endometrial/Uterine Cancer	NA	MSI-H	inferred-MSI	5305	171	0.151932139	0.634495759	0.01470311	0.017530631	0.157587182	0.023751178	NA	NA	Frame_Shift_Del	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.795898836	0.204101164	Double
ACH-001709	Lymphoma	MSI-high	MSI-H	inferred-MSI	1097	143	0.121239745	0.421148587	0.025524157	0.075660893	0.299908842	0.056517776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.419809964	0.580190036	0
ACH-001738	Leukemia	MSI-low	MSS/MSI-L	inferred-MSI	1730	70	0.031213873	0.815028902	0.023121387	0.015606936	0.097109827	0.017919075	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.912371616	0.087628384	0
ACH-002059	Leukemia	NA	MSI-H	inferred-MSI	3198	399	0.084427767	0.631957473	0.024077548	0.03627267	0.193871169	0.029393371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71166712	0.28833288	0
ACH-002179	Breast Cancer	MSI-low	MSS/MSI-L	inferred-MSI	836	86	0.11722488	0.403110048	0.108851675	0.04784689	0.29784689	0.025119617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.439877179	0.560122821	0
ACH-002189	Kidney Cancer	NA	MSS/MSI-L	inferred-MSI	499	59	0.102204409	0.438877756	0.070140281	0.064128257	0.276553106	0.048096192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.481481159	0.518518841	0
ACH-002222	Leukemia	NA	MSI-H	inferred-MSI	4665	457	0.139121115	0.720257235	0.048660236	0.022936763	0.055948553	0.013076099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.939578336	0.060421664	0
ACH-002232	Lymphoma	MSI-high	MSI-H	inferred-MSI	1725	253	0.110724638	0.492753623	0.031884058	0.042898551	0.264927536	0.056811594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.545327562	0.454672438	0
ACH-002238	Leukemia	NA	MSI-H	inferred-MSI	3430	437	0.072594752	0.59154519	0.043440233	0.046355685	0.205830904	0.040233236	NA	Missense_Mutation	Missense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.651424416	0.348575584	0
ACH-000980	Lung Cancer	MSS	MSS/MSI-L	inferred-MSI	2958	47	0.045300879	0.862407032	0.03617309	0.007437458	0.043272481	0.00540906	NA	NA	Nonsense_Mutation	NA	5.913607512	6.394376945	3.243364426	4.676380255	1	0.00322	0.87759	0.0053	0.1586	0.84062	0	0.00086	0	-3.088360119	0.758174874	0.412633518	-1.008743198	1.097617065	1.456204201	1.394705909	-1.219804532	0.991414438	0.008585562	1
ACH-002272	Lymphoma	MSI-high	MSI-H	inferred-MSI	2121	441	0.160301744	0.507307874	0.027817067	0.02310231	0.224893918	0.056577086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.606745943	0.393254057	0
ACH-002275	Leukemia	NA	MSI-H	inferred-MSI	1345	182	0.081040892	0.544981413	0.024535316	0.034200743	0.261710037	0.053531599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.580522898	0.419477102	0
ACH-002287	Colon/Colorectal Cancer	NA	MSI-H	inferred-MSI	2543	365	0.156508061	0.597325993	0.028706252	0.042076288	0.145497444	0.029885961	Frame_Shift_Del	Nonsense_Mutation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75100551	0.24899449	Double
